id,file,line,context,original,translation,status,error
9698d648,__DEFINES/admin_verb.dm,67,to_chat,Hello!,,pending,
0f61da5b,__DEFINES/chat_filter.dm,9,to_chat,The word <b>[html_encode(filter_result[CHAT_FILTER_INDEX_WORD])]</b> is prohibited: [html_encode(filter_result[CHAT_FILTER_INDEX_REASON])],,pending,
f95b6564,__DEFINES/mode.dm,140,to_chat,You have been dead for [(world.time - GLOB.key_to_time_of_role_death[M.key]) * 0.1] second\s.</span><br><span class='warning'>You must wait [SSticker.mode?.respawn_time * 0.1] seconds before rejoining the game!,,pending,
92fe1579,__DEFINES/tgs.config.dm,5,to_chat,[span_notice(,,pending,
d6d37491,__HELPERS/admin.dm,46,to_chat,[span_prefix(,,pending,
ab8931f9,__HELPERS/files.dm,31,to_chat,<font color='red'>Error: browse_files(): File not found/Invalid file([path]).</font>,,pending,
45f7c277,__HELPERS/files.dm,43,to_chat,<font color='red'>Error: file_spam_check(): Spam. Please wait [DisplayTimeText(time_to_wait)].</font>,,pending,
fdd13053,__HELPERS/logging/_logging.dm,40,to_chat,## TESTING: [msg],,pending,
7c4c71f0,__HELPERS/unsorted.dm,963,name,INTERNAL DVIEW MOB,,pending,
699436c2,_onclick/ai.dm,151,to_chat,[src] AI remote control has been disabled.,,pending,
247105a8,_onclick/ai.dm,154,to_chat,You can't lock a door that's on emergency access.,,pending,
84fe7b2c,_onclick/ai.dm,163,to_chat,[src] AI remote control has been disabled.,,pending,
77b90304,_onclick/ai.dm,169,to_chat,[src] AI remote control has been disabled.,,pending,
9fceaa90,_onclick/ai.dm,172,to_chat,Emergency access mechanism inaccessible.,,pending,
5fdb1478,_onclick/ai.dm,175,to_chat,[src] emergency access has been disabled.,,pending,
56c81ff0,_onclick/ai.dm,178,to_chat,[src] emergency access has been enabled.,,pending,
8e86fc7b,_onclick/ai.dm,288,to_chat,No linked mortar found.,,pending,
52f0ec02,_onclick/ai.dm,293,to_chat,You cannot hit the target. It is probably underground.,,pending,
2072d255,_onclick/ai.dm,295,to_chat,Sending targeting information to [user.linked_artillery]. COORDINATES: X:[x] Y:[y],,pending,
a465e849,_onclick/ai.dm,311,to_chat,"The rail guns are already targeting a location, wait for them to finish.",,pending,
9f0d6d09,_onclick/ai.dm,314,to_chat,Incompatible target location.,,pending,
5efc9dd9,_onclick/ai.dm,317,to_chat,The operation hasn't started yet.,,pending,
c1916ee2,_onclick/ai.dm,320,to_chat,DEPTH WARNING: Target too deep for ordnance.,,pending,
ca21bdee,_onclick/ai.dm,323,to_chat,"[icon2html(src, user)] [span_warning(",,pending,
40741509,_onclick/ai.dm,326,to_chat,"[icon2html(src, user)] [span_warning(",,pending,
aa6be274,_onclick/ai.dm,328,to_chat,"Firing orbital railguns at [src], COORDINATES: X:[x] Y:[y]",,pending,
c91fc0e2,_onclick/hud/ai.dm,12,name,AI core,,pending,
ed08d0a9,_onclick/hud/ai.dm,25,name,Show Camera List,,pending,
375c7014,_onclick/hud/ai.dm,29,name,Make Vox Announcement,,pending,
3162b66d,_onclick/hud/ai.dm,40,name,Vox Announcement Help,,pending,
69cacd97,_onclick/hud/ai.dm,51,name,Issue Manual Bioscan,,pending,
7740f7d8,_onclick/hud/ai.dm,69,name,Track With Camera,,pending,
5798f5c8,_onclick/hud/ai.dm,83,name,Toggle Camera Light,,pending,
2a32870d,_onclick/hud/ai.dm,95,name,Supply Interface,,pending,
6fafeeb1,_onclick/hud/ai.dm,107,name,Multicamera Mode,,pending,
112b5172,_onclick/hud/ai.dm,119,name,New Camera,,pending,
a2ff8d71,_onclick/hud/ai.dm,153,name,go up,,pending,
0bee235f,_onclick/hud/ai.dm,165,name,go down,,pending,
e7e6dceb,_onclick/hud/ai.dm,237,name,Notification,,pending,
ef78455a,_onclick/hud/ai.dm,238,desc,A new notification. You can enter it.,,pending,
f54a3284,_onclick/hud/alerts.dm,102,name,Alert,,pending,
6019bc18,_onclick/hud/alerts.dm,130,name,Notification,,pending,
8fbd1250,_onclick/hud/alerts.dm,169,name,Buckled,,pending,
a0ffd013,_onclick/hud/alerts.dm,174,name,Handcuffed,,pending,
c903eb5b,_onclick/hud/alerts.dm,225,name,Missing Power Cell,,pending,
960b636d,_onclick/hud/alerts.dm,231,name,Out of Power,,pending,
cfadd3ce,_onclick/hud/alerts.dm,237,name,Low Charge,,pending,
d2f6aea4,_onclick/hud/alerts.dm,243,name,Mech Damaged,,pending,
d83fd5a8,_onclick/hud/alerts.dm,250,name,On Fire,,pending,
9a41bf40,_onclick/hud/alerts.dm,263,name,Choking,,pending,
665bed67,_onclick/hud/alerts.dm,268,name,Too Hot,,pending,
bdaf84cd,_onclick/hud/alerts.dm,273,name,Too Cold,,pending,
21b10ca0,_onclick/hud/alerts.dm,278,name,Low Pressure,,pending,
b210ad61,_onclick/hud/alerts.dm,283,name,High Pressure,,pending,
c2db7099,_onclick/hud/alerts.dm,288,name,Hungry,,pending,
53ee31e2,_onclick/hud/alerts.dm,294,name,Starving,,pending,
c8be5e0d,_onclick/hud/alerts.dm,300,name,Stuffed,,pending,
8a226562,_onclick/hud/alerts.dm,103,desc,"Something seems to have gone wrong with this alert, so report this bug please",,pending,
547819d7,_onclick/hud/alerts.dm,131,desc,A new notification. You can enter it.,,pending,
dc75d8ae,_onclick/hud/alerts.dm,170,desc,You've been buckled to something. Click the alert to unbuckle unless you're handcuffed.,,pending,
6f416eca,_onclick/hud/alerts.dm,175,desc,"You're handcuffed and can't act. If anyone drags you, you won't be able to move. Click the alert to free yourself.",,pending,
8d966981,_onclick/hud/alerts.dm,226,desc,Unit has no power cell. No modules available until a power cell is reinstalled. Robotics may provide assistance.,,pending,
3c94dea0,_onclick/hud/alerts.dm,232,desc,Unit's power cell has no charge remaining. No modules available until power cell is recharged.,,pending,
c4a7142e,_onclick/hud/alerts.dm,238,desc,Unit's power cell is running low.,,pending,
8a47efa3,_onclick/hud/alerts.dm,244,desc,Mech integrity is low.,,pending,
253f245e,_onclick/hud/alerts.dm,251,desc,"You're on fire. Stop, drop and roll to put the fire out, or use a fire extinguisher.",,pending,
57e79305,_onclick/hud/alerts.dm,264,desc,You're not getting enough O2. This can be from internal damage or critical condition. Find a solution before you pass out or even die!,,pending,
d9bf40aa,_onclick/hud/alerts.dm,269,desc,"You're flaming hot! Try to extinguish yourself, and then take Kelotane to cool you down!",,pending,
57fe1f15,_onclick/hud/alerts.dm,274,desc,"You're freezing cold! Get somewhere warmer, and layer up next time you go somewhere cold!",,pending,
ea01c481,_onclick/hud/alerts.dm,279,desc,The air around you is hazardously thin! Get inside as soon as possible!,,pending,
3862b086,_onclick/hud/alerts.dm,284,desc,The air around you is hazardously thick.,,pending,
38be34ca,_onclick/hud/alerts.dm,289,desc,You could use a bite to eat. Movement speed reduced.,,pending,
c2ea4af2,_onclick/hud/alerts.dm,295,desc,You could eat a horse right now. Movement speed significantly reduced.,,pending,
849263d2,_onclick/hud/alerts.dm,301,desc,You had a bit too much to eat. Work out to lose the extra nutrition. Movement speed reduced.,,pending,
5e89cc91,_onclick/hud/ghost.dm,9,name,Toggle health scan,,pending,
e32bb236,_onclick/hud/ghost.dm,24,name,Follow,,pending,
a3653c79,_onclick/hud/ghost.dm,33,name,Teleport,,pending,
bc19f4e0,_onclick/hud/ghost.dm,42,name,Toggle Zoom,,pending,
01aa686b,_onclick/hud/ghost.dm,75,name,Reenter corpse,,pending,
8ee748d1,_onclick/hud/hud.dm,450,to_chat,<span class ='info'>Switched HUD mode. Press F12 to toggle.</span>,,pending,
3b383581,_onclick/hud/hud.dm,452,to_chat,<span class ='warning'>This mob type does not use a HUD.</span>,,pending,
6b07a375,_onclick/hud/human.dm,2,name,equip,,pending,
6f26dbf7,_onclick/hud/interactive_emotes.dm,22,balloon_alert,slow your roll!,,pending,
ffad0ed6,_onclick/hud/interactive_emotes.dm,41,name,high five,,pending,
48cd3dc0,_onclick/hud/interactive_emotes.dm,145,name,fist bump,,pending,
42ac7058,_onclick/hud/interactive_emotes.dm,191,name,head bump,,pending,
78378cfa,_onclick/hud/interactive_emotes.dm,268,name,interaction tester,,pending,
0a3895f9,_onclick/hud/interactive_emotes.dm,42,desc,You gonna leave them hanging?,,pending,
72cce0ab,_onclick/hud/interactive_emotes.dm,146,desc,Bro.,,pending,
0339f646,_onclick/hud/interactive_emotes.dm,192,desc,Touch skulls.,,pending,
32822a4b,_onclick/hud/map_popups.dm,7,name,background,,pending,
4e0b656b,_onclick/hud/map_view.dm,8,name,screen,,pending,
9c9488fb,_onclick/hud/picture_in_picture.dm,2,name,Picture-in-picture,,pending,
8faa9298,_onclick/hud/radial.dm,38,name,Close Menu,,pending,
e2339b7c,_onclick/hud/radial_persistent.dm,6,name,Close Menu,,pending,
27f0d24e,_onclick/hud/rendering/plane_masters/_plane_master.dm,106,name,[initial(name)] #[offset],,pending,
655c1508,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,2,name,Field of vision blocker,,pending,
f3ebe211,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,37,name,Click Catcher,,pending,
e9559d0d,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,58,name,Parallax whitifier,,pending,
d469d4df,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,72,name,Parallax,,pending,
0c9e59bf,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,162,name,Gravpulse,,pending,
3c57ef21,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,175,name,Floor,,pending,
6712319f,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,181,name,Transparent Floor,,pending,
b91b17e7,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,194,name,Wall,,pending,
758f167f,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,204,name,Game,,pending,
dbc462c6,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,210,name,Upper Game,,pending,
8954737a,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,216,name,Seethrough,,pending,
e525db72,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,230,name,Default,,pending,
5faf08f6,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,240,name,Area,,pending,
124136ae,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,245,name,Weather,,pending,
f3175b11,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,257,name,Massive object,,pending,
e9639311,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,262,name,Point,,pending,
cf62599e,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,269,name,Turf Lighting,,pending,
7bb4423f,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,281,name,Overlight light visual,,pending,
4395f113,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,305,name,Above lighting,,pending,
d7f3f848,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,312,name,Weather Glow,,pending,
7101b69d,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,328,name,Emissive,,pending,
cd5fd6bf,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,348,name,Pipecrawl,,pending,
621f7f17,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,365,name,Camera static,,pending,
b125223d,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,402,name,High Game,,pending,
0bd13a3a,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,411,name,Ghost,,pending,
a52faa69,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,417,name,Fullscreen,,pending,
baa0e8cc,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,427,name,Runechat,,pending,
79bc2629,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,441,name,Balloon chat,,pending,
d391e3b2,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,448,name,HUD,,pending,
8a4a8b28,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,456,name,Above HUD,,pending,
3d0ca8cb,_onclick/hud/rendering/plane_masters/plane_master_subtypes.dm,464,name,Splashscreen,,pending,
