id,file,line,context,original,translation,status,error
9698d648,__DEFINES/admin_verb.dm,67,to_chat,Hello!,你好！,translated,
0f61da5b,__DEFINES/chat_filter.dm,9,to_chat,The word <b>[html_encode(filter_result[CHAT_FILTER_INDEX_WORD])]</b> is prohibited: [html_encode(filter_result[CHAT_FILTER_INDEX_REASON])],词语 <b>[html_encode(filter_result[CHAT_FILTER_INDEX_WORD])]</b> 已被禁止：[html_encode(filter_result[CHAT_FILTER_INDEX_REASON])],translated,
f95b6564,__DEFINES/mode.dm,140,to_chat,You have been dead for [(world.time - GLOB.key_to_time_of_role_death[M.key]) * 0.1] second\s.</span><br><span class='warning'>You must wait [SSticker.mode?.respawn_time * 0.1] seconds before rejoining the game!,你已死亡[(world.time - GLOB.key_to_time_of_role_death[M.key]) * 0.1]秒。</span><br><span class='warning'>你必须等待[SSticker.mode?.respawn_time * 0.1]秒才能重新加入游戏！,translated,
92fe1579,__DEFINES/tgs.config.dm,5,to_chat,"[span_notice(""[html_encode(##message)]"")]","[span_notice(""[html_encode(##message)]"")]",translated,
d6d37491,__HELPERS/admin.dm,46,to_chat,"[span_prefix(""APPROVAL REQUEST:"")] <span class='message linkify'>[admin_message] | [admin_specific_options]</span>","[span_prefix(""APPROVAL REQUEST:"")] <span class='message linkify'>[admin_message] | [admin_specific_options]</span>",translated,
ab8931f9,__HELPERS/files.dm,31,to_chat,<font color='red'>Error: browse_files(): File not found/Invalid file([path]).</font>,<font color='red'>错误：browse_files()：文件未找到/文件无效（[path]）。</font>,translated,
45f7c277,__HELPERS/files.dm,43,to_chat,<font color='red'>Error: file_spam_check(): Spam. Please wait [DisplayTimeText(time_to_wait)].</font>,<font color='red'>错误：file_spam_check()：检测到刷屏。请等待 [DisplayTimeText(time_to_wait)]。</font>,translated,
fdd13053,__HELPERS/logging/_logging.dm,40,to_chat,## TESTING: [msg],## 测试中：[msg],translated,
7c4c71f0,__HELPERS/unsorted.dm,963,name,INTERNAL DVIEW MOB,内部DVIEW MOB,translated,
699436c2,_onclick/ai.dm,151,to_chat,[src] AI remote control has been disabled.,[src] 的AI远程控制已禁用。,translated,
247105a8,_onclick/ai.dm,154,to_chat,You can't lock a door that's on emergency access.,紧急访问状态下的门无法上锁。,translated,
84fe7b2c,_onclick/ai.dm,163,to_chat,[src] AI remote control has been disabled.,[src] 的AI远程控制已被禁用。,translated,
77b90304,_onclick/ai.dm,169,to_chat,[src] AI remote control has been disabled.,[src] 的AI远程控制已禁用。,translated,
9fceaa90,_onclick/ai.dm,172,to_chat,Emergency access mechanism inaccessible.,紧急访问机制无法访问。,translated,
5fdb1478,_onclick/ai.dm,175,to_chat,[src] emergency access has been disabled.,[src] 紧急访问权限已被禁用。,translated,
56c81ff0,_onclick/ai.dm,178,to_chat,[src] emergency access has been enabled.,[src] 紧急访问权限已启用。,translated,
8e86fc7b,_onclick/ai.dm,288,to_chat,No linked mortar found.,未找到已连接的迫击炮。,translated,
52f0ec02,_onclick/ai.dm,293,to_chat,You cannot hit the target. It is probably underground.,你无法命中目标。目标可能在地下。,translated,
2072d255,_onclick/ai.dm,295,to_chat,Sending targeting information to [user.linked_artillery]. COORDINATES: X:[x] Y:[y],正在向[user.linked_artillery]发送目标信息。坐标：X:[x] Y:[y],translated,
a465e849,_onclick/ai.dm,311,to_chat,"The rail guns are already targeting a location, wait for them to finish.",导轨炮已在瞄准一个位置，等待它们完成。,translated,
9f0d6d09,_onclick/ai.dm,314,to_chat,Incompatible target location.,目标位置不兼容。,translated,
5efc9dd9,_onclick/ai.dm,317,to_chat,The operation hasn't started yet.,行动尚未开始。,translated,
c1916ee2,_onclick/ai.dm,320,to_chat,DEPTH WARNING: Target too deep for ordnance.,深度警告：目标过深，无法使用弹药。,translated,
ca21bdee,_onclick/ai.dm,323,to_chat,"[icon2html(src, user)] [span_warning(""The rail gun hasn't cooled down yet!"")]","[icon2html(src, user)] [span_warning(""The rail gun hasn't cooled down yet!"")]",translated,
40741509,_onclick/ai.dm,326,to_chat,"[icon2html(src, user)] [span_warning(""No target detected!"")]","[icon2html(src, user)] [span_warning(""No target detected!"")]",translated,
aa6be274,_onclick/ai.dm,328,to_chat,"Firing orbital railguns at [src], COORDINATES: X:[x] Y:[y]",正在向[src]发射轨道导轨炮，坐标：X:[x] Y:[y],translated,
c91fc0e2,_onclick/hud/ai.dm,12,name,AI core,AI核心,translated,
ed08d0a9,_onclick/hud/ai.dm,25,name,Show Camera List,显示摄像头列表,translated,
375c7014,_onclick/hud/ai.dm,29,name,Make Vox Announcement,发布沃克斯公告,translated,
3162b66d,_onclick/hud/ai.dm,40,name,Vox Announcement Help,沃克斯公告帮助,translated,
69cacd97,_onclick/hud/ai.dm,51,name,Issue Manual Bioscan,发布手动生化扫描,translated,
7740f7d8,_onclick/hud/ai.dm,69,name,Track With Camera,使用摄像头追踪,translated,
5798f5c8,_onclick/hud/ai.dm,83,name,Toggle Camera Light,切换摄像头灯光,translated,
2a32870d,_onclick/hud/ai.dm,95,name,Supply Interface,补给界面,translated,
6fafeeb1,_onclick/hud/ai.dm,107,name,Multicamera Mode,多摄像头模式,translated,
112b5172,_onclick/hud/ai.dm,119,name,New Camera,新摄像头,translated,
a2ff8d71,_onclick/hud/ai.dm,153,name,go up,向上移动,translated,
0bee235f,_onclick/hud/ai.dm,165,name,go down,下去,translated,
e7e6dceb,_onclick/hud/ai.dm,237,name,Notification,通知,translated,
ef78455a,_onclick/hud/ai.dm,238,desc,A new notification. You can enter it.,新通知。你可以进入。,translated,
f54a3284,_onclick/hud/alerts.dm,102,name,Alert,警报,translated,
