id,file,line,context,original,translation,status,error
92fe1579,__DEFINES/tgs.config.dm,5,to_chat,[span_notice(,,pending,{'[未闭合的方括号表达式]'}
d6d37491,__HELPERS/admin.dm,46,to_chat,[span_prefix(,,pending,{'[未闭合的方括号表达式]'}
ca21bdee,_onclick/ai.dm,323,to_chat,"[icon2html(src, user)] [span_warning(",,pending,{'[未闭合的方括号表达式]'}
40741509,_onclick/ai.dm,326,to_chat,"[icon2html(src, user)] [span_warning(",,pending,{'[未闭合的方括号表达式]'}
60f23b79,_onclick/ventcrawl.dm,51,visible_message,[stealthy ? ,,pending,{'[未闭合的方括号表达式]'}
d77517a7,_onclick/ventcrawl.dm,67,visible_message,[stealthy ? ,,pending,{'[未闭合的方括号表达式]'}
d9118efc,controllers/master.dm,410,to_chat,"<i>CRITICAL:</i> These subsystems have circular dependencies and cannot be initialized: [jointext(usr_msg, ",,pending,{'[未闭合的方括号表达式]'}
2c77a91b,controllers/subsystem/ticker.dm,352,to_chat,The alive players limit has been released!<br><a href='byond://?src=[REF(NP)];lobby_choice=late_join;override=1'>[html_encode(,,pending,{'[未闭合的方括号表达式]'}
0c266ebd,controllers/subsystem/timer.dm,498,name,"Timer: [id] (\ref[src]), TTR: [timeToRun], wait:[wait] Flags: [jointext(bitfield2list(flags, bitfield_flags), ",,pending,{'[未闭合的方括号表达式]'}
8530e91d,datums/actions/observer_action.dm,92,to_chat,"Someone has already joined the round with this character name. Go to 'Game Preferences' under the Preferences tab, and change your character/name.",,pending,译文含双引号
68c49f21,datums/components/bump_attack.dm,29,balloon_alert,[should_enable ? ,,pending,{'[未闭合的方括号表达式]'}
6449f032,datums/components/chem_booster.dm,287,to_chat,Commencing green blood injection.<b>[(automatic_meds_use && meds_beaker.reagents.total_volume) ? ,,pending,{'[未闭合的方括号表达式]'}
f7b5718d,datums/components/chem_booster.dm,447,balloon_alert,[automatic_meds_use ? ,,pending,{'[未闭合的方括号表达式]'}
45d1efe8,datums/components/grillable.dm,76,visible_message,<span class='[positive_result ? ,,pending,{'[未闭合的方括号表达式]'}
d56b0891,datums/components/harvester.dm,271,to_chat,You prepare to stab <b>[target != user ? ,,pending,{'[未闭合的方括号表达式]'}
cf0f8b7a,datums/components/riding/riding_mob.dm,171,to_chat,"<span class='danger'>[human_parent] falls to the ground, bringing you with [human_parent.p_them()]!</span>",,pending,{'[human_parent.p_them()]'}
9d809a5b,datums/components/riding/riding_mob.dm,283,to_chat,"<span class='danger'>[carrying_crusher] falls to the ground, bringing you with [carrying_crusher.p_them()]!</span>",,pending,{'[carrying_crusher.p_them()]'}
0de8b0a7,datums/components/riding/riding_mob.dm,388,to_chat,"[carrying_runner] falls to the ground, bringing you with [carrying_runner.p_them()]!",,pending,{'[carrying_runner.p_them()]'}
142fd4d8,datums/components/rotation.dm,157,balloon_alert,[rotation_type == ROTATION_FLIP ? ,,pending,{'[未闭合的方括号表达式]'}
05856d68,datums/components/shield.dm,187,to_chat,\The [parent_item.name] [. ? ,,pending,{'[未闭合的方括号表达式]'}
7e35dfa6,datums/components/shield.dm,254,to_chat,\The [parent_item.name] [. ? ,,pending,{'[未闭合的方括号表达式]'}
