id,file,line,context,original,translation,status,error
92fe1579,__DEFINES/tgs.config.dm,5,to_chat,"[span_notice(""[html_encode(##message)]"")]","[span_notice(""[html_encode(##message)]"")]",translated,
d6d37491,__HELPERS/admin.dm,46,to_chat,"[span_prefix(""APPROVAL REQUEST:"")] <span class='message linkify'>[admin_message] | [admin_specific_options]</span>","[span_prefix(""批准请求："")] <span class='message linkify'>[admin_message] | [admin_specific_options]</span>",translated,
ca21bdee,_onclick/ai.dm,323,to_chat,"[icon2html(src, user)] [span_warning(""The rail gun hasn't cooled down yet!"")]","[icon2html(src, user)] [span_warning(""导轨炮尚未冷却完毕！"")]",translated,
40741509,_onclick/ai.dm,326,to_chat,"[icon2html(src, user)] [span_warning(""No target detected!"")]","[icon2html(src, user)] [span_warning(""未检测到目标！"")]",translated,
60f23b79,_onclick/ventcrawl.dm,51,visible_message,"[stealthy ? ""[src] begins climbing into the ventilation system..."" : """"]","[stealthy ? ""[src]开始爬入通风系统..."" : """"]",translated,
d77517a7,_onclick/ventcrawl.dm,67,visible_message,"[stealthy ? ""[src] scrambles into the ventilation ducts!"" : """"]","[stealthy ? ""[src] 爬进了通风管道！"" : """"]",translated,
d9118efc,controllers/master.dm,410,to_chat,"<i>CRITICAL:</i> These subsystems have circular dependencies and cannot be initialized: [jointext(usr_msg, "", "")]","<i>严重：</i>这些子系统存在循环依赖，无法初始化：[jointext(usr_msg, "", "")]",translated,
2c77a91b,controllers/subsystem/ticker.dm,352,to_chat,"The alive players limit has been released!<br><a href='byond://?src=[REF(NP)];lobby_choice=late_join;override=1'>[html_encode("">>Join Game<<"")]</a>","存活玩家限制已解除！<br><a href='byond://?src=[REF(NP)];lobby_choice=late_join;override=1'>[html_encode("">>加入游戏<<"")]</a>",translated,
0c266ebd,controllers/subsystem/timer.dm,498,name,"Timer: [id] (\ref[src]), TTR: [timeToRun], wait:[wait] Flags: [jointext(bitfield2list(flags, bitfield_flags), "", "")], \
","计时器：[id] (\ref[src])，TTR：[timeToRun]，等待：[wait] 标志：[jointext(bitfield2list(flags, bitfield_flags), "", "")]，\",translated,
8530e91d,datums/actions/observer_action.dm,92,to_chat,"Someone has already joined the round with this character name. Go to 'Game Preferences' under the Preferences tab, and change your character/name.",已有人使用此角色名加入本局游戏。请前往'偏好设置'标签页下的'游戏偏好'中，更改你的角色/名称。,translated,
68c49f21,datums/components/bump_attack.dm,29,balloon_alert,"[should_enable ? ""attacking"" : ""pushing""] enemies in your way","[should_enable ? ""攻击"" : ""推开""]你路径上的敌人",translated,
6449f032,datums/components/chem_booster.dm,287,to_chat,"Commencing green blood injection.<b>[(automatic_meds_use && meds_beaker.reagents.total_volume) ? "" Adding additional reagents."" : """"]</b>","开始注入绿色血液。<b>[(automatic_meds_use && meds_beaker.reagents.total_volume) ? "" 正在添加额外试剂。"" : """"]</b>",translated,
f7b5718d,datums/components/chem_booster.dm,447,balloon_alert,"[automatic_meds_use ? ""now"" : ""no longer""] injecting loaded reagents","[automatic_meds_use ? ""now"" : ""no longer""] 注入已装载的试剂",translated,
45d1efe8,datums/components/grillable.dm,76,visible_message,"<span class='[positive_result ? ""notice"" : ""warning""]'>[parent] turns into \a [grilled_result]!</span>","<span class='[positive_result ? ""notice"" : ""warning""]'>[parent] 变成了 \a [grilled_result]！</span>",translated,
d56b0891,datums/components/harvester.dm,271,to_chat,"You prepare to stab <b>[target != user ? ""[target]"" : ""yourself""]</b>!","你准备刺向<b>[target != user ? ""[target]"" : ""自己""]</b>！",translated,
cf0f8b7a,datums/components/riding/riding_mob.dm,171,to_chat,"<span class='danger'>[human_parent] falls to the ground, bringing you with [human_parent.p_them()]!</span>",<span class='danger'>[human_parent] 摔倒在地，把你也带倒了！</span>,translated,
9d809a5b,datums/components/riding/riding_mob.dm,283,to_chat,"<span class='danger'>[carrying_crusher] falls to the ground, bringing you with [carrying_crusher.p_them()]!</span>",<span class='danger'>[carrying_crusher] 摔倒在地，把你也一起带倒了！</span>,translated,
0de8b0a7,datums/components/riding/riding_mob.dm,388,to_chat,"[carrying_runner] falls to the ground, bringing you with [carrying_runner.p_them()]!",[carrying_runner] 摔倒在地，把你也一起带倒了！,translated,
142fd4d8,datums/components/rotation.dm,157,balloon_alert,"[rotation_type == ROTATION_FLIP ? ""flipped"" : ""rotated""]","[rotation_type == ROTATION_FLIP ? ""翻转"" : ""旋转""]",translated,
05856d68,datums/components/shield.dm,187,to_chat,"\The [parent_item.name] [. ? ""softens"" : ""soaks""] the damage!","\The [parent_item.name] [. ? ""软化了"" : ""吸收了""]伤害！",translated,
7e35dfa6,datums/components/shield.dm,254,to_chat,"\The [parent_item.name] [. ? ""softens"" : ""soaks""] the damage!","\The [parent_item.name] [. ? ""软化了"" : ""吸收了""]伤害！",translated,
c56403a8,datums/elements/riding.dm,46,visible_message,<span class='warning'>[potential_rider] can't get [potential_rider.p_their()] footing on [target_movable]!</span>,<span class='warning'>[potential_rider] 无法在 [target_movable] 上站稳！</span>,translated,
41d3d1bd,datums/elements/scalping.dm,18,visible_message,[user] starts to tear into [M] with \the [source],[user]开始用\the [source]撕扯[M],translated,
483a9a83,datums/emergency_calls/clf.dm,11,to_chat,"<B>You grew up [pick(""on the TGMC prison station"",""in the LV-624 jungle"",""on a desert planet"",""on an icy colony"")] to a[pick(50;"" poor"", 15;"" well-off"", 35;""n average"")] family.</B>","<B>你成长于[pick(""地球政府殖民地海军陆战队的监狱空间站"",""LV-624的丛林"",""一颗沙漠星球"",""一个冰封殖民地"")]的一个[pick(50;""贫困"", 15;""富裕"", 35;""普通"")]家庭。</B>",translated,
2157008c,datums/emergency_calls/clf.dm,12,to_chat,"<B>You joined the CLF because [pick(20;""you harbor a strong hatred for the oppressive TerraGov"",5;""you are good at killing, and in times like these this is the place to be"", 10;""your militia was absorbed into the CLF"")] and you are considered a terrorist by the TGMC.</B>","<B>你加入殖民地解放阵线是因为[pick(20;""你对压迫性的地球政府怀有强烈的仇恨"",5;""你擅长杀戮，而在这个时代这正是你的用武之地"", 10;""你的民兵组织被并入了殖民地解放阵线"")]，并且你被地球政府殖民地海军陆战队视为恐怖分子。</B>",translated,
2c581596,datums/emergency_calls/colonists.dm,29,to_chat,"<p style='font-size:1.5em'>[span_notice(""You are a colonist. You... wait for further orders!"")]</p>","<p style='font-size:1.5em'>[span_notice(""你是一名殖民者。你……等待进一步命令！"")]</p>",translated,
140e851d,datums/emergency_calls/deathsquad.dm,9,to_chat,"<B>Though rumors say that [pick(""you work for a death squad group assigned in"", ""you were modified to not feel any emotions in a research lab of"", ""you were a soldier who was affected by PTSD after an operation in"", ""you were an product of a classified genetics research in"", ""you were an experimental soldier in the depths of"", ""left for dead and later recovered in"", ""listed as KIA but remained alive during a botchered operation in"", 5;""raised literally from the depths of hell itself. Only until you were recovered in"", 5;""raised literally from the Higher Power. But realized you were in"")] [pick(10;""Mars"", 10;""Earth's moon, Luna"", 10;""Earth"", 10;""a space station"", ""a war-ridden outpost"", ""a jungle"", ""a defunct TGMC-NT station"", ""a desert planet"", ""an icey colony"", ""a frozen cave system"", ""a molten planet"", ""a digsite"", ""a research outpost"")].</B>","<B>尽管有传言说[pick(""你曾效力于一支部署在"", ""你在某研究实验室中被改造得毫无情感，该实验室位于"", ""你是一名士兵，在某个行动后患上了创伤后应激障碍，该行动发生在"", ""你是某项机密基因研究的产物，研究地点在"", ""你曾是深处某地的实验性士兵，该地位于"", ""你被遗弃等死，后来在某个地方被救回，该地位于"", ""你被列为阵亡，但在一次失败的行动中幸存下来，该行动发生在"", 5;""你简直是从地狱深处被抚养长大。直到后来你在"", 5;""你简直是被更高存在抚养长大。但后来意识到自己身处"")] [pick(10;""火星"", 10;""地球的卫星——月球"", 10;""地球"", 10;""一座空间站"", ""一个饱受战火蹂躏的前哨站"", ""一片丛林"", ""一座废弃的地球政府殖民地海军陆战队-纳米传讯空间站"", ""一颗沙漠行星"", ""一个冰封的殖民地"", ""一个冰冻洞穴系统"", ""一颗熔岩行星"", ""一处考古挖掘现场"", ""一个研究前哨站"")]。</B>",translated,
2de2ea5f,datums/emergency_calls/deathsquad.dm,12,to_chat,"<B>Today, you and your squadmates are sent by Nanotrasen to the TGMC vessel, [SSmapping.configs[SHIP_MAP].map_name], after a long period of [pick(""cryostasis"", ""rest and relaxation"")].</b>","<B>今天，你和你的小队成员被纳米传讯派往地球政府殖民地海军陆战队的舰船，[SSmapping.configs[SHIP_MAP].map_name]，经过一段漫长的[pick(""低温休眠"", ""休整与放松"")]后。</b>",translated,
8a9537ff,datums/emergency_calls/deathsquad.dm,40,to_chat,"<p style='font-size:1.5em'>[span_notice(""You are the leader of the elite Asset Protection commando squad."")]</p>","<p style='font-size:1.5em'>[span_notice(""你是精英资产保护突击小队的队长。"")]</p>",translated,
5639a32c,datums/emergency_calls/deathsquad.dm,46,to_chat,"<p style='font-size:1.5em'>[span_notice(""You are a member of the elite Asset Protection commando squad."")]</p>","<p style='font-size:1.5em'>[span_notice(""你是精英资产保护突击小队的一员。"")]</p>",translated,
851a2ae3,datums/emergency_calls/deathsquad.dm,51,to_chat,"<p style='font-size:1.5em'>[span_notice(""You are a member of the elite Asset Protection commando squad."")]</p>","<p style='font-size:1.5em'>[span_notice(""你是精英资产保护突击小队的一员。"")]</p>",translated,
3d1c058e,datums/emergency_calls/emergency_call.dm,81,to_chat,"<br><font size='3'>[span_attack(""An emergency beacon has been activated. Use the <B>Ghost > <a href='byond://?src=[REF(M)];join_ert=1'>Join Response Team</a></b> verb to join!"")]</font><br>","<br><font size='3'>[span_attack(""紧急信标已激活。使用 <B>幽灵 > <a href='byond://?src=[REF(M)];join_ert=1'>加入响应小队</a></b> 动词加入！"")]</font><br>",translated,
fa6a223f,datums/emergency_calls/emergency_call.dm,82,to_chat,"[span_attack(""You cannot join if you have Ghosted before this message."")]<br>","[span_attack(""若在此消息前已进入幽灵状态，则无法加入。"")]<br>",translated,
cb1e16af,datums/emergency_calls/erp.dm,30,to_chat,"<p style='font-size:1.5em'>[span_notice(""You are an ERP Master Prankster sent to entertain & prank at the TGMC distress signal location sent nearby. Coordinate your fellow entertainers & pranksters in bringing joy to this situation!"")]</p>","<p style='font-size:1.5em'>[span_notice(""你是一名ERP恶作剧大师，被派往地球政府殖民地海军陆战队求救信号附近的地点进行娱乐和恶作剧。协调你的娱乐家和恶作剧同伴，为这个局面带来欢乐！"")]</p>",translated,
431fc102,datums/emergency_calls/erp.dm,36,to_chat,"<p style='font-size:1.5em'>[span_notice(""You are an ERP Pie Thrower sent to entertain & prank at the TGMC distress signal location sent nearby. Fire your amazing explosive pies at the sources of anti-fun!"")]</p>","<p style='font-size:1.5em'>[span_notice(""你是一名ERP馅饼投掷手，被派往地球政府殖民地海军陆战队求救信号附近的地点进行娱乐和恶作剧。向那些破坏乐趣的家伙发射你神奇的爆炸馅饼吧！"")]</p>",translated,
