id,file,line,context,original,translation,status,error
92fe1579,__DEFINES/tgs.config.dm,5,to_chat,"[span_notice(""[html_encode(##message)]"")]","[span_notice(""[html_encode(##message)]"")]",translated,
d6d37491,__HELPERS/admin.dm,46,to_chat,"[span_prefix(""APPROVAL REQUEST:"")] <span class='message linkify'>[admin_message] | [admin_specific_options]</span>","[span_prefix(""APPROVAL REQUEST:"")] <span class='message linkify'>[admin_message] | [admin_specific_options]</span>",translated,
ca21bdee,_onclick/ai.dm,323,to_chat,"[icon2html(src, user)] [span_warning(""The rail gun hasn't cooled down yet!"")]","[icon2html(src, user)] [span_warning(""The rail gun hasn't cooled down yet!"")]",translated,
40741509,_onclick/ai.dm,326,to_chat,"[icon2html(src, user)] [span_warning(""No target detected!"")]","[icon2html(src, user)] [span_warning(""No target detected!"")]",translated,
60f23b79,_onclick/ventcrawl.dm,51,visible_message,"[stealthy ? ""[src] begins climbing into the ventilation system..."" : """"]","[stealthy ? ""[src] begins climbing into the ventilation system..."" : """"]",translated,
d77517a7,_onclick/ventcrawl.dm,67,visible_message,"[stealthy ? ""[src] scrambles into the ventilation ducts!"" : """"]","[stealthy ? ""[src] scrambles into the ventilation ducts!"" : """"]",translated,
d9118efc,controllers/master.dm,410,to_chat,"<i>CRITICAL:</i> These subsystems have circular dependencies and cannot be initialized: [jointext(usr_msg, "", "")]","<i>严重警告：</i>这些子系统存在循环依赖，无法初始化：[jointext(usr_msg, "", "")]",translated,
2c77a91b,controllers/subsystem/ticker.dm,352,to_chat,"The alive players limit has been released!<br><a href='byond://?src=[REF(NP)];lobby_choice=late_join;override=1'>[html_encode("">>Join Game<<"")]</a>","存活玩家限制已解除！<br><a href='byond://?src={{P0}};lobby_choice=late_join;override=1'>[html_encode("">>Join Game<<"")]</a>",translated,
0c266ebd,controllers/subsystem/timer.dm,498,name,"Timer: [id] (\ref[src]), TTR: [timeToRun], wait:[wait] Flags: [jointext(bitfield2list(flags, bitfield_flags), "", "")], \
","计时器：[id] (\ref[src])，TTR：[timeToRun]，等待：[wait] 标志：[jointext(bitfield2list(flags, bitfield_flags), "", "")]，\",translated,
68c49f21,datums/components/bump_attack.dm,29,balloon_alert,"[should_enable ? ""attacking"" : ""pushing""] enemies in your way","[should_enable ? ""attacking"" : ""pushing""] 清除前方敌人",translated,
6449f032,datums/components/chem_booster.dm,287,to_chat,"Commencing green blood injection.<b>[(automatic_meds_use && meds_beaker.reagents.total_volume) ? "" Adding additional reagents."" : """"]</b>","开始注入绿色血液。<b>[(automatic_meds_use && meds_beaker.reagents.total_volume) ? "" Adding additional reagents."" : """"]</b>",translated,
f7b5718d,datums/components/chem_booster.dm,447,balloon_alert,"[automatic_meds_use ? ""now"" : ""no longer""] injecting loaded reagents","[automatic_meds_use ? ""now"" : ""no longer""] 正在注入已装载的试剂",translated,
45d1efe8,datums/components/grillable.dm,76,visible_message,"<span class='[positive_result ? ""notice"" : ""warning""]'>[parent] turns into \a [grilled_result]!</span>",<span class='{{P0}}'>[parent] 变成了 \a [grilled_result]！</span>,translated,
d56b0891,datums/components/harvester.dm,271,to_chat,"You prepare to stab <b>[target != user ? ""[target]"" : ""yourself""]</b>!","你准备刺向<b>[target != user ? ""[target]"" : ""yourself""]</b>！",translated,
cf0f8b7a,datums/components/riding/riding_mob.dm,171,to_chat,"<span class='danger'>[human_parent] falls to the ground, bringing you with [human_parent.p_them()]!</span>",<span class='danger'>[human_parent] 摔倒在地，把 [human_parent.p_them()] 也带倒了！</span>,translated,
9d809a5b,datums/components/riding/riding_mob.dm,283,to_chat,"<span class='danger'>[carrying_crusher] falls to the ground, bringing you with [carrying_crusher.p_them()]!</span>",<span class='danger'>[carrying_crusher] 摔倒在地，把 [carrying_crusher.p_them()] 也带倒了！</span>,translated,
0de8b0a7,datums/components/riding/riding_mob.dm,388,to_chat,"[carrying_runner] falls to the ground, bringing you with [carrying_runner.p_them()]!",[carrying_runner] 摔倒在地，把你也带倒了！,translated,
142fd4d8,datums/components/rotation.dm,157,balloon_alert,"[rotation_type == ROTATION_FLIP ? ""flipped"" : ""rotated""]","[rotation_type == ROTATION_FLIP ? ""flipped"" : ""rotated""]",translated,
05856d68,datums/components/shield.dm,187,to_chat,"\The [parent_item.name] [. ? ""softens"" : ""soaks""] the damage!","\The [parent_item.name] [. ? ""softens"" : ""soaks""] 压制伤害！",translated,
7e35dfa6,datums/components/shield.dm,254,to_chat,"\The [parent_item.name] [. ? ""softens"" : ""soaks""] the damage!","\The [parent_item.name] [. ? ""softens"" : ""soaks""] 压制伤害！",translated,
c56403a8,datums/elements/riding.dm,46,visible_message,<span class='warning'>[potential_rider] can't get [potential_rider.p_their()] footing on [target_movable]!</span>,<span class='warning'>[potential_rider]在[target_movable]上站不稳脚跟！</span>,translated,
483a9a83,datums/emergency_calls/clf.dm,11,to_chat,"<B>You grew up [pick(""on the TGMC prison station"",""in the LV-624 jungle"",""on a desert planet"",""on an icy colony"")] to a[pick(50;"" poor"", 15;"" well-off"", 35;""n average"")] family.</B>","<B>你在[pick(""on the TGMC prison station"",""in the LV-624 jungle"",""on a desert planet"",""on an icy colony"")]的一个[pick(50;"" poor"", 15;"" well-off"", 35;""n average"")]家庭中长大。</B>",translated,
2157008c,datums/emergency_calls/clf.dm,12,to_chat,"<B>You joined the CLF because [pick(20;""you harbor a strong hatred for the oppressive TerraGov"",5;""you are good at killing, and in times like these this is the place to be"", 10;""your militia was absorbed into the CLF"")] and you are considered a terrorist by the TGMC.</B>","<B>你加入CLF是因为[pick(20;""you harbor a strong hatred for the oppressive TerraGov"",5;""you are good at killing, and in times like these this is the place to be"", 10;""your militia was absorbed into the CLF"")]，并且被TGMC视为恐怖分子。</B>",translated,
2c581596,datums/emergency_calls/colonists.dm,29,to_chat,"<p style='font-size:1.5em'>[span_notice(""You are a colonist. You... wait for further orders!"")]</p>","<p style='font-size:1.5em'>[span_notice(""You are a colonist. You... wait for further orders!"")]</p>",translated,
140e851d,datums/emergency_calls/deathsquad.dm,9,to_chat,"<B>Though rumors say that [pick(""you work for a death squad group assigned in"", ""you were modified to not feel any emotions in a research lab of"", ""you were a soldier who was affected by PTSD after an operation in"", ""you were an product of a classified genetics research in"", ""you were an experimental soldier in the depths of"", ""left for dead and later recovered in"", ""listed as KIA but remained alive during a botchered operation in"", 5;""raised literally from the depths of hell itself. Only until you were recovered in"", 5;""raised literally from the Higher Power. But realized you were in"")] [pick(10;""Mars"", 10;""Earth's moon, Luna"", 10;""Earth"", 10;""a space station"", ""a war-ridden outpost"", ""a jungle"", ""a defunct TGMC-NT station"", ""a desert planet"", ""an icey colony"", ""a frozen cave system"", ""a molten planet"", ""a digsite"", ""a research outpost"")].</B>","<B>尽管有传言说[pick(""you work for a death squad group assigned in"", ""you were modified to not feel any emotions in a research lab of"", ""you were a soldier who was affected by PTSD after an operation in"", ""you were an product of a classified genetics research in"", ""you were an experimental soldier in the depths of"", ""left for dead and later recovered in"", ""listed as KIA but remained alive during a botchered operation in"", 5;""raised literally from the depths of hell itself. Only until you were recovered in"", 5;""raised literally from the Higher Power. But realized you were in"")] [pick(10;""Mars"", 10;""Earth's moon, Luna"", 10;""Earth"", 10;""a space station"", ""a war-ridden outpost"", ""a jungle"", ""a defunct TGMC-NT station"", ""a desert planet"", ""an icey colony"", ""a frozen cave system"", ""a molten planet"", ""a digsite"", ""a research outpost"")].</B>",translated,
